sample;site;depth;fraction.name;fraction.code;pct.n.pre.ashing;pct.c.pre.ashing;pct.n.post.ashing;pct.c.post.ashing;pct.mass.loss
22A;159N;1;Sand + Agg;sa;0.189236388;3.287136174;0.003456246;0.540793351;6.910569106
22A;159N;1;POM;pom;1.472652099;27.16791893;0.004430164;0.041446706;53.77906977
22B;159N;2;Silt + Clay;sc;0.213589319;3.174379184;0.003953456;0.733836917;8.273381295
22B;159N;2;Sand + Agg;sa;0.07751187;1.721463705;0.00357772;0.526338853;3.392857143
22B;159N;2;POM;pom;1.698874426;29.51228636;0.005484916;0.159533628;60.52631579
23A;130Q1;1;Silt + Clay;sc;0.413212101;5.093772469;0.003825147;0.107026533;13.25757576
23A;130Q1;1;Sand + Agg;sa;4.110491254;2.896410164;0.003649906;0.435383944;7.545045045
23A;130Q1;1;POM;pom;1.707514522;26.7717562;0.004834491;0.072221153;52.91828794
23B;130Q1;2;Silt + Clay;sc;0.210902533;2.875432154;0.003721259;0.33814262;8.788927336
23B;130Q1;2;Sand + Agg;sa;0.075713724;1.583726012;0.002716678;0.533462962;3.225806452
23B;130Q1;2;POM;pom;0.590390051;12.01896926;0.005305225;-0.006353165;30.3030303
24A;125J;1;Silt + Clay;sc;0.435615779;5.159870359;0.003391505;0.434500714;12.52427184
24A;125J;1;Sand + Agg;sa;0.209862943;3.300655016;0.004350973;0.567157473;6.158663883
24A;125J;1;POM;pom;1.232299575;20.00669084;0.004631929;-0.036469763;40.59405941
24B;125J;2;Silt + Clay;sc;0.235396992;3.325727206;0.003251489;0.600507356;8.545454545
24B;125J;2;Sand + Agg;sa;0.084176795;1.607423292;0.002964711;0.462854437;3.259005146
24B;125J;2;POM;pom;1.526200021;27.96273809;0.004953767;0.174438153;56.52173913
25A;1.30E+03;1;Silt + Clay;sc;0.481931217;5.809513319;0.003858471;0.060223961;14.77170994
25A;1.30E+03;1;Sand + Agg;sa;0.505239968;7.014947908;0.003696236;0.114652273;12.8745838
25A;1.30E+03;1;POM;pom;1.593110674;24.86774668;0.004293298;-0.028665626;48.61111111
25B;1.30E+03;2;Silt + Clay;sc;0.244690148;3.296704729;0.003470974;0.225690694;10.33464567
25B;1.30E+03;2;Sand + Agg;sa;0.004960369;-0.050353402;0.003341904;0.514033675;4.674796748
25B;1.30E+03;2;POM;pom;1.100618891;18.45821756;0.00351786;-0.006174833;39.3258427
26A;158G;1;Silt + Clay;sc;0.461441814;5.965635963;0.004009576;0.125787543;15.56948798
26A;158G;1;Sand + Agg;sa;0.323709648;5.177964765;0.00340268;0.392030211;10.76759062
26A;158G;1;POM;pom;1.630361465;30.12262397;0.018224443;0.220788502;58.88501742
26B;158G;2;Silt + Clay;sc;0.222083028;3.124494339;0.003252239;0.433334157;9.572301426
26B;158G;2;Sand + Agg;sa;0.120496895;2.286683702;0.003105145;0.581501958;4.550625711
26B;158G;2;POM;pom;1.080263169;20.29547938;0.004655421;0.117262517;42.39130435
27A;159P;1;Silt + Clay;sc;0.580704973;7.694960411;0.004467083;0.12709857;18.45238095
27A;159P;1;Sand + Agg;sa;0.278244842;4.772180652;0.002768583;0.347574368;9.819639279
27A;159P;1;POM;pom;1.334926968;26.46973378;0.003304776;0.033852497;51.06761566
27B;159P;2;Silt + Clay;sc;0.267504385;3.725119684;0.003392874;0.437434478;10.88580576
27B;159P;2;Sand + Agg;sa;0.130306895;2.506467447;0.00330174;0.410546732;5.539637058
27B;159P;2;POM;pom;1.122362231;20.32392554;0.003119676;0.024786883;41.08527132
28A;130P;1;Silt + Clay;sc;0.394773031;4.64932051;0.00401164;0.107234663;12.96482412
28A;130P;1;Sand + Agg;sa;0.201335515;2.955041592;0.004210047;0.314562094;5.856255546
28A;130P;1;POM;pom;1.4664087;21.49803901;0.004052148;0.192230941;42.20183486
28B;130P;2;Silt + Clay;sc;0.208369598;2.921378762;0.003133382;0.373080768;8.943089431
28B;130P;2;Sand + Agg;sa;0.077331178;1.576863933;0.003944628;0.275808541;3.700361011
28B;130P;2;POM;pom;1.067321883;18.4415416;0.003282882;0.003918653;36.36363636
29A;157L;1;Silt + Clay;sc;0.547004996;6.582002285;0.004169039;0.076467447;16.85055165
29A;157L;1;Sand + Agg;sa;0.511790737;7.423915107;0.003210187;0.180420264;15.90493601
29A;157L;1;POM;pom;1.708682134;28.28016424;0.004589185;0.06525255;55.18134715
29B;157L;2;Silt + Clay;sc;0.244200985;3.238776854;0.00396771;0.156749061;10.86323957
29B;157L;2;Sand + Agg;sa;0.210729851;3.839803424;0.003918186;0.727944223;8.276533593
29B;157L;2;POM;pom;1.463307042;25.74265775;0.004553317;0.251282636;58.13953488
30A;158N;1;Silt + Clay;sc;0.573917673;6.153013551;0.004261235;0.043085461;15.76253838
30A;158N;1;Sand + Agg;sa;0.293346935;3.964426009;0.003044679;0.113816447;8.998732573
30A;158N;1;POM;pom;2.180981403;30.52854312;0.003824079;0.130068231;60.60606061
30B;158N;2;Silt + Clay;sc;0.223905559;2.849019023;0.002904061;0.138177302;9.972299169
30B;158N;2;Sand + Agg;sa;0.060803247;1.211745567;0.003870661;0.063219042;3.462050599
30B;158N;2;POM;pom;1.775037678;28.16576016;0.009108558;0.057689216;66.66666667
31A;130T2;1;Silt + Clay;sc;0.585019434;6.812160144;0.003304638;0.07686168;17.36111111
31A;130T2;1;Sand + Agg;sa;0.29295566;3.95544405;0.003136187;0.182700521;8.64422202
31A;130T2;1;POM;pom;1.72629777;24.93691378;0.003999889;0.047448197;48.57768053
31B;130T2;2;Silt + Clay;sc;0.266290515;3.618918228;0.002942319;0.388714908;10.31111111
31B;130T2;2;Sand + Agg;sa;0.069830519;1.434657887;0.00319631;0.216617256;4.019607843
31B;130T2;2;POM;pom;1.859173412;30.89123947;0.004291767;0.16653261;61.42857143
32A;131M;1;Silt + Clay;sc;0.246229446;3.302334334;0.004164963;0.399050592;10.19567456
32A;131M;1;Sand + Agg;sa;0.062007451;1.512182663;0.003042684;0.430045651;3.436123348
32A;131M;1;POM;pom;1.673687839;27.94184576;0.004104227;0.088536306;56.66666667
32B;131M;2;Silt + Clay;sc;0.175344057;2.622886346;0.003339881;0.378640976;9.259259259
32B;131M;2;Sand + Agg;sa;0.03187701;1.222353681;0.003423858;0.526409259;2.58780037
32B;131M;2;POM;pom;1.72286944;30.53016837;0.095801787;0.414269183;100
