site,depth,fraction.name,fraction.code,pct.n.pre.ashing,pct.c.pre.ashing,pct.n.post.ashing,pct.c.post.ashing,pct.mass.loss,c.in.org.fract,org.c.in.t.frac,n.in.org.fract,org.n.in.t.frac,species,mean.c.pre,mean.n.pre,mean.c.post,mean.n.post,mean.pct.mass.loss,fraction.id,c.in.org.fraction.bulk,org.c.in.total.bulk,n.in.org.fraction.bulk,org.n.in.total.bulk,sample,soil.start.wt,weight.g,orgc.weight,totwt,pct.c.cont.by.fraction
130P,1,POM,pom,1.4664087,21.49803901,0.004052148,0.192230941,42.20183486,50.67773267,21.38693305,3.469201369,1.464066633,populus,4.999120472,0.370655433,0.692381116,0.004461926,12.6984127,fraction.pom,34.60795354,4.394660768,2.888235793,0.366760101,28A,10.428,0.434,0.092819289,0.496631843,18.68975796
130P,2,Silt + Clay,sc,0.208369598,2.921378762,0.003133382,0.373080768,8.943089431,28.86768561,2.581662941,2.298047434,0.205516437,populus,2.958489964,0.194327839,0.932050379,0.01873684,6.870229008,fraction.sc,30.42800434,2.090473581,2.574561381,0.176878263,28B,10.364,7.159,0.18482125,0.271965418,67.95762906
130P,2,Sand + Agg,sa,0.077331178,1.576863933,0.003944628,0.275808541,3.700361011,35.43603718,1.311261304,1.987171394,0.073532515,populus,2.958489964,0.194327839,0.932050379,0.01873684,6.870229008,fraction.sa,30.42800434,2.090473581,2.574561381,0.176878263,28B,10.364,3.06,0.040124596,0.271965418,14.75356543
130P,2,POM,pom,1.067321883,18.4415416,0.003282882,0.003918653,36.36363636,50.70738176,18.43904791,2.929390135,1.065232776,populus,2.958489964,0.194327839,0.932050379,0.01873684,6.870229008,fraction.pom,30.42800434,2.090473581,2.574561381,0.176878263,28B,10.364,0.255,0.047019572,0.271965418,17.28880551
130Q1,1,Silt + Clay,sc,0.413212101,5.093772469,0.003825147,0.107026533,13.25757576,37.72133873,5.00093506,3.091772457,0.409894076,acer,5.803702026,0.437261682,0.534562458,0.003200688,12.13872832,fraction.sc,43.94223606,5.334028652,3.579036497,0.434449517,23A,10.1,6.858,0.342964126,0.51732214,66.29604648
130Q1,1,Sand + Agg,sa,4.110491254,2.896410164,0.003649906,0.435383944,7.545045045,33.05316429,2.493876135,54.4346218,4.107116735,acer,5.803702026,0.437261682,0.534562458,0.003200688,12.13872832,fraction.sa,43.94223606,5.334028652,3.579036497,0.434449517,23A,10.1,2.853,0.071150286,0.51732214,13.75357454
130Q1,1,POM,pom,1.707514522,26.7717562,0.004834491,0.072221153,52.91828794,50.52648959,26.73775324,3.222398961,1.705238361,acer,5.803702026,0.437261682,0.534562458,0.003200688,12.13872832,fraction.pom,43.94223606,5.334028652,3.579036497,0.434449517,23A,10.1,0.386,0.103207728,0.51732214,19.95037899
130Q1,2,Silt + Clay,sc,0.210902533,2.875432154,0.003721259,0.33814262,8.788927336,29.20730306,2.567008643,2.361020006,0.207508333,acer,3.064833815,0.203752194,1.139314465,0.005138146,7.272727273,fraction.sc,27.61520553,2.008378584,2.736081306,0.198987731,23B,10.229,7.925,0.203435435,0.256060666,79.44813945
130Q1,2,Sand + Agg,sa,0.075713724,1.583726012,0.002716678,0.533462962,3.225806452,33.09161751,1.067471533,2.265625104,0.073084681,acer,3.064833815,0.203752194,1.139314465,0.005138146,7.272727273,fraction.sa,27.61520553,2.008378584,2.736081306,0.198987731,23B,10.229,2.329,0.024861412,0.256060666,9.709188212
130Q1,2,POM,pom,0.590390051,12.01896926,0.005305225,0,30.3030303,39.66259856,12.01896926,1.936085151,0.58669247,acer,3.064833815,0.203752194,1.139314465,0.005138146,7.272727273,fraction.pom,27.61520553,2.008378584,2.736081306,0.198987731,23B,10.229,0.231,0.027763819,0.256060666,10.84267234
130T2,1,Silt + Clay,sc,0.585019434,6.812160144,0.003304638,0.07686168,17.36111111,38.87218084,6.748642506,3.353981863,0.582288518,fraxinus,6.279059392,0.51395777,0.42115156,0.00343195,12.6984127,fraction.sc,46.55217573,5.911387395,4.023822782,0.510961623,31A,10.414,7.553,0.509724968,0.800843135,63.64854063
130T2,1,Sand + Agg,sa,0.29295566,3.95544405,0.003136187,0.182700521,8.64422202,43.82738619,3.788536568,3.35588988,0.290090572,fraxinus,6.279059392,0.51395777,0.42115156,0.00343195,12.6984127,fraction.sa,46.55217573,5.911387395,4.023822782,0.510961623,31A,10.414,2.634,0.099790053,0.800843135,12.46062416
130T2,1,POM,pom,1.72629777,24.93691378,0.003999889,0.047448197,48.57768053,51.28387059,24.91251482,3.549450932,1.724240934,fraxinus,6.279059392,0.51395777,0.42115156,0.00343195,12.6984127,fraction.pom,46.55217573,5.911387395,4.023822782,0.510961623,31A,10.414,0.768,0.191328114,0.800843135,23.89083521
130T2,2,Silt + Clay,sc,0.266290515,3.618918228,0.002942319,0.388714908,10.31111111,31.7161178,3.270284146,2.556965772,0.263651582,fraxinus,3.449157696,0.22710261,0.917170521,0.003339845,9.756097561,fraction.sc,26.87003906,2.621467226,2.296908186,0.224088604,31B,10.537,8.508,0.278235775,0.35399777,78.59817164
130T2,2,Sand + Agg,sa,0.069830519,1.434657887,0.00319631,0.216617256,4.019607843,30.51909149,1.226747795,1.660925412,0.066762688,fraxinus,3.449157696,0.22710261,0.917170521,0.003339845,9.756097561,fraction.sa,26.87003906,2.621467226,2.296908186,0.224088604,31B,10.537,2.507,0.030754567,0.35399777,8.687785574
130T2,2,POM,pom,1.859173412,30.89123947,0.004291767,0.16653261,61.42857143,50.18349726,30.82700546,3.023866538,1.857518016,fraxinus,3.449157696,0.22710261,0.917170521,0.003339845,9.756097561,fraction.pom,26.87003906,2.621467226,2.296908186,0.224088604,31B,10.537,0.146,0.045007428,0.35399777,12.71404278
