"","site","depth","species","fraction.name","fraction.code","c.in.org.fract","org.c.in.t.frac","soil.start.wt","weight.g","orgc.weight","pct.c.cont.by.fraction"
"105","133V1",2,"acer","POM","pom",49.4025912187707,30.4015945969266,10.067,0.197,0.0598911413559454,16.5106157765351
"106","134T",1,"quercus","Sand + Agg","sa",44.5212233285917,3.129842,10.28,2.55,0.079810971,12.6715063352571
"107","134T",1,"quercus","Silt + Clay","sc",44.6039373970346,5.414918,10.28,6.901,0.37368349118,59.329346160547
"108","134T",1,"quercus","POM","pom",50.2649325626204,20.87,10.28,0.845,0.1763515,27.9991475041959
"109","134T",2,"quercus","Sand + Agg","sa",41.03,1.6412,10.921,2.845,0.04669214,15.0769696450657
"110","134T",2,"quercus","Silt + Clay","sc",38.5194972067039,2.757996,10.921,7.781,0.21459966876,69.2945898760619
"111","134T",2,"quercus","POM","pom",51.2969979597785,17.6,10.921,0.275,0.0484,15.6284404788724
"112","134X",1,"fagus","Silt + Clay","sc",40.7236531365314,4.414444,10.28,7.198,0.31775167912,61.601225033466
"113","134X",1,"fagus","Sand + Agg","sa",45.3893700787402,2.882225,10.28,2.689,0.07750303025,15.0251970986525
"114","134X",1,"fagus","POM","pom",52.374272689598,25.275824,10.28,0.477,0.12056568048,23.3735778678816
"115","134X",2,"fagus","Silt + Clay","sc",33.7161527581329,2.383732,10.921,7.906,0.18845785192,69.0227931285353
"116","134X",2,"fagus","Sand + Agg","sa",41.8965306122449,1.642344,10.921,2.724,0.04473745056,16.3851161606775
"117","134X",2,"fagus","POM","pom",52.7565844986964,22.258003,10.921,0.179,0.03984182537,14.5920907107872
"118","135J",1,"acer","POM","pom",48.5063624021924,23.588043789354,10.088,0.308,0.0726511748712103,14.2181431321452
"119","135J",1,"acer","Sand + Agg","sa",45.7055157095565,4.55215019393839,10.088,2.457,0.111846330265066,21.8888013212855
"120","135J",1,"acer","Silt + Clay","sc",40.9982747695736,4.42621504168534,10.088,7.376,0.326477621474711,63.8930555465693
"121","135J",2,"acer","POM","pom",30.0126931588596,4.25,10.356,0.787,0.0334475,12.1917365308449
"122","135J",2,"acer","Sand + Agg","sa",32.6151640852866,1.67318415680086,10.356,2.009,0.0336142697101293,12.252524702374
"123","135J",2,"acer","Silt + Clay","sc",39.1516974739964,2.51710855945954,10.356,8.235,0.207283889871493,75.5557387667811
"124","156H",1,"picea","POM","pom",36.2765650528217,6.42866991160693,10.367,0.653,0.0419792145227933,6.75348349400639
"125","156H",1,"picea","Sand + Agg","sa",54.8519370188901,3.79166306795822,10.367,2.461,0.0933128281024518,15.0118731742061
"126","156H",1,"picea","Silt + Clay","sc",43.5897732283163,6.8348764422,10.367,7.115,0.48630145886253,78.2346433317875
"127","156H",2,"picea","POM","pom",54.1147629058462,15.248933728131,10.074,0.346,0.0527613106993333,17.1196048523568
"128","156H",2,"picea","Sand + Agg","sa",35.7277633380297,1.1351328227694,10.074,1.8,0.0204323908098492,6.62975298030199
"129","156H",2,"picea","Silt + Clay","sc",35.0456320878932,2.8894459355998,10.074,8.133,0.234998637942332,76.2506421673412
"130","157G",1,"populus","Sand + Agg","sa",43.1285922836288,4.136032,10.424,2.227,0.09210943264,11.4385081027469
"131","157G",1,"populus","POM","pom",49.2209450830141,19.27,10.424,1.332,0.2566764,31.875075082255
"132","157G",1,"populus","Silt + Clay","sc",41.3070581886248,6.24191938570153,10.424,7.313,0.456471564676353,56.6864168149981
"133","157G",2,"populus","Sand + Agg","sa",34.3594793926247,1.583972,10.156,1.688,0.02673744736,5.43840510923312
"134","157G",2,"populus","POM","pom",50.307200786434,20.47,10.156,0.912,0.1866864,37.972071825496
"135","157G",2,"populus","Silt + Clay","sc",34.247318401688,3.34155038915975,10.156,8.326,0.278217485401441,56.5895230652709
"136","157L",1,"quercus","Silt + Clay","sc",38.683718848173,6.51842002465217,10.415,7.485,0.487903738845215,61.0978045218298
"137","157L",1,"quercus","Sand + Agg","sa",45.7228533705888,7.27219057053827,10.415,2.143,0.155843043926635,19.5154639651925
"138","157L",1,"quercus","POM","pom",51.1965009649818,28.2509189261397,10.415,0.548,0.154815035715246,19.3867315129777
"139","157L",2,"quercus","Silt + Clay","sc",28.5279156282121,3.09905581902016,10.453,8.598,0.266456819319353,76.932159954782
"140","157L",2,"quercus","Sand + Agg","sa",38.3265253926808,3.1721077491549,10.453,1.662,0.0527204307909544,15.2215905933849
"141","157L",2,"quercus","POM","pom",44.0964478348861,25.6374696698046,10.453,0.106,0.0271757178499929,7.84624945183313
"142","158G",1,"quercus","Silt + Clay","sc",37.6340757249984,5.85943289638772,10.462,7.836,0.459145161760942,69.1151760251699
"143","158G",1,"quercus","Sand + Agg","sa",44.8396204185111,4.8281467622272,10.462,2.172,0.104867347675575,15.7856943675337
"144","158G",1,"quercus","POM","pom",51.000828617678,30.0318468158641,10.462,0.334,0.100306368364986,15.0991296072964
"145","158G",2,"quercus","Silt + Clay","sc",28.5473692488155,2.73264023368986,10.385,8.239,0.225142228853708,74.6824761225071
"146","158G",2,"quercus","Sand + Agg","sa",38.0528707826904,1.73164372161072,10.385,2.083,0.0360701387211513,11.9649134127045
"147","158G",2,"quercus","POM","pom",47.7171587042,20.2279259734699,10.385,0.199,0.0402535726872051,13.3526104647884
"148","158J1",1,"picea","Sand + Agg","sa",46.7701694915254,4.966992,10.174,3.007,0.14935744944,17.904077799207
"149","158J1",1,"picea","POM","pom",49.7116493656286,21.55,10.174,1.289,0.2777795,33.2985451858746
"150","158J1",1,"picea","Silt + Clay","sc",40.9083768901708,6.30630779634289,10.174,6.455,0.407072168253934,48.7973770149185
"151","158J1",2,"picea","Sand + Agg","sa",32.6808270676692,1.303965,10.18,2.386,0.0311126049,12.6056840741968
"152","158J1",2,"picea","Silt + Clay","sc",32.168082845148,2.79261378535539,10.18,7.724,0.21570148878085,87.3943159258032
"153","158N",1,"fraxinus","Silt + Clay","sc",38.8054214674421,6.11671945232632,10.521,9.009,0.551055255460078,78.2357709726043
"154","158N",1,"fraxinus","Sand + Agg","sa",42.9043931283591,3.86085159968962,10.521,1.555,0.0600362423751736,8.52361294440122
"155","158N",1,"fraxinus","POM","pom",50.2875517945898,30.4773041199142,10.521,0.306,0.0932605506069375,13.2406160829945
"156","158N",2,"fraxinus","Silt + Clay","sc",27.3218956708487,2.72462117493909,10.454,9.362,0.255079034397798,85.702146560531
"157","158N",2,"fraxinus","Sand + Agg","sa",33.2379659775805,1.15071520022224,10.454,1.35,0.0155346552030002,5.21937563437137
"158","158N",2,"fraxinus","POM","pom",42.2197956298919,28.1465304213353,10.454,0.096,0.0270206692044819,9.0784778050976
"159","159G",1,"populus","Sand + Agg","sa",43.193661971831,4.9068,10.492,2.273,0.111531564,18.0857984120454
"160","159G",1,"populus","Silt + Clay","sc",42.2848387096774,5.24332,10.492,7.386,0.3872716152,62.7994095305111
"161","159G",1,"populus","POM","pom",51.4613513513513,25.514538,10.492,0.462,0.11787716556,19.1147920574436
"162","159G",2,"populus","Sand + Agg","sa",42.6568358627611,2.49350108960401,10.02,2.346,0.0584975355621101,18.8940370505963
"163","159G",2,"populus","Silt + Clay","sc",40.3461226829299,3.30496072735595,10.02,7.598,0.251110916064505,81.1059629494037
"164","159L",1,"fraxinus","Sand + Agg","sa",45.4158286358512,4.028384,11.045,3.438,0.13849584192,21.0147138122896
"165","159L",1,"fraxinus","Silt + Clay","sc",43.501592920354,5.898816,11.045,7.061,0.41651539776,63.2001059453782
"166","159L",1,"fraxinus","POM","pom",50.6912945231712,26.470994,11.045,0.393,0.10403100642,15.7851802423323
"167","159L",2,"fraxinus","Silt + Clay","sc",32.8411514241992,2.28911645607548,10.247,7.876,0.180290812080505,100
"168","159N",1,"acer","Silt + Clay","sc",39.0788404183486,5.35696136107282,10.271,7.443,0.39871863410465,64.0637222049125
"169","159N",1,"acer","Sand + Agg","sa",40.2819894938116,2.78371472124151,10.271,2.378,0.0661967360711231,10.6360951001334
"170","159N",1,"acer","POM","pom",50.4820220822817,27.1487618769371,10.271,0.58,0.157462818886235,25.3001826949541
"171","159N",2,"acer","Silt + Clay","sc",30.2325651875674,2.50125539322688,10.196,7.91,0.197849301604246,78.1021828653967
"172","159N",2,"acer","Sand + Agg","sa",35.7510713315168,1.21298277737039,10.196,2.291,0.0277894354295556,10.9700441196741
"173","159N",2,"acer","POM","pom",48.6553859674044,29.4493125594745,10.196,0.094,0.027682353805906,10.9277730149293
"174","159P",1,"picea","Silt + Clay","sc",41.1400272620017,7.5913145533184,10.298,6.714,0.509680859109797,54.7447370110056
"175","159P",1,"picea","Sand + Agg","sa",45.4063199928249,4.45873683316386,10.298,2.342,0.104423616632698,11.2161234390472
"176","159P",1,"picea","POM","pom",51.8002820460235,26.4531689460593,10.298,1.198,0.31690896397379,34.0391395499473
"177","159P",2,"picea","Silt + Clay","sc",30.6390132906648,3.33530347360235,10.377,7.711,0.257185250849477,71.4210293397321
"178","159P",2,"picea","Sand + Agg","sa",38.2455292959425,2.11866351390628,10.377,2.413,0.0511233505905585,14.1970906590233
"179","159P",2,"picea","POM","pom",49.4321243662955,20.3093224151323,10.377,0.255,0.0517887721585874,14.3818800012446
"180","160L1",1,"fagus","Silt + Clay","sc",41.8315859030837,4.747885,10.866,7.296,0.3464056896,61.6979441345809
"181","160L1",1,"fagus","Sand + Agg","sa",44.4729449838188,1.374214,10.866,2.678,0.03680145092,6.55466677107858
"182","160L1",1,"fagus","POM","pom",51.6083677298312,27.50726,10.866,0.648,0.1782470448,31.7473890943405
"183","160L1",2,"fagus","Silt + Clay","sc",28.8845565749235,2.833575,10.765,7.553,0.21401991975,73.2866219212459
"184","160L1",2,"fagus","Sand + Agg","sa",45.5463800904977,1.006575,10.765,2.883,0.02901955725,9.93713726734869
"185","160L1",2,"fagus","POM","pom",53.1068127165274,26.059513,10.765,0.188,0.04899188444,16.7762408114054
