"site","species","depth","pct.mass.loss.fraction","pct.mass.loss.bulk","soil.mass.pre.fract","fraction.mass","org.c.mass.fraction","sum.org.c.mass.fraction","inorg.c.mass.frac","inorg.c.mass.bulk","org.c.start.mass.bulk","sa","sc"
"130P","populus",1,42.20183486,12.6984127,10.428,0.434,0.092819289,0.496631843,0.0004822,0.072201503,0.458275225,NA,NA
"130P","populus",2,8.943089431,6.870229008,10.364,7.159,0.18482125,0.271965418,0.024320256,0.096597701,NA,NA,0.216656682
"130P","populus",2,3.700361011,6.870229008,10.364,3.06,0.040124596,0.271965418,0.00812744,0.096597701,NA,0.216656682,NA
"130P","populus",2,36.36363636,6.870229008,10.364,0.255,0.047019572,0.271965418,6.36e-06,0.096597701,0.216656682,NA,NA
"130Q1","acer",2,8.788927336,7.272727273,10.229,7.925,0.203435435,0.256060666,0.024442563,0.116540477,NA,NA,0.205437045
"130Q1","acer",2,3.225806452,7.272727273,10.229,2.329,0.024861412,0.256060666,0.012023567,0.116540477,NA,0.205437045,NA
"130Q1","acer",2,30.3030303,7.272727273,10.229,0.231,0.027763819,0.256060666,0,0.116540477,0.205437045,NA,NA
"134T","quercus",2,4,7.206392281,10.921,2.845,0.04669214,0.309691809,0.00764736,0.082532029,NA,0.304833104,NA
"134T","quercus",2,7.16,7.206392281,10.921,7.781,0.214599669,0.309691809,0.058513431,0.082532029,NA,NA,0.304833104
"134T","quercus",2,34.31,7.206392281,10.921,0.275,0.0484,0.309691809,0,0.082532029,0.304833104,NA,NA
"125J","acer",1,12.52427184,11.02941176,10.588,7.397,0.353560896,0.509469442,0.028114715,0.06068111,NA,NA,0.466146204
"125J","acer",1,6.158663883,11.02941176,10.588,2.965,0.082083857,0.509469442,0.015780565,0.06068111,NA,0.466146204,NA
"125J","acer",1,40.59405941,11.02941176,10.588,0.369,0.073824689,0.509469442,0,0.06068111,0.466146204,NA,NA
"130Q1","acer",1,13.25757576,12.13872832,10.1,6.858,0.342964126,0.51732214,0.00636679,0.053990808,NA,NA,0.538736894
"130Q1","acer",1,7.545045045,12.13872832,10.1,2.853,0.071150286,0.51732214,0.011484296,0.053990808,NA,0.538736894,NA
"130Q1","acer",1,52.91828794,12.13872832,10.1,0.386,0.103207728,0.51732214,0.000131251,0.053990808,0.538736894,NA,NA
"131N2","picea",1,17.02786378,14.47368421,10.478,6.574,0.451841825,0.683063907,0.014065254,0.083270569,NA,NA,0.621311934
"131N2","picea",1,2.872062663,14.47368421,10.478,3.198,0.026197141,0.683063907,0.004469749,0.083270569,NA,0.621311934,NA
"131N2","picea",1,57.18157182,14.47368421,10.478,0.7,0.20502494,0.683063907,0.000612936,0.083270569,0.621311934,NA,NA
"131M","quercus",1,10.19567456,9.154929577,10.879,8.749,0.257567904,0.335314382,0.031353327,0.110236321,NA,NA,0.397253901
"131M","quercus",1,3.436123348,9.154929577,10.879,2.458,0.026962144,0.335314382,0.010207306,0.110236321,NA,0.397253901,NA
"131M","quercus",1,56.66666667,9.154929577,10.879,0.182,0.050784334,0.335314382,6.98e-05,0.110236321,0.397253901,NA,NA
"160L1","fagus",1,11.35,12.29508197,10.866,7.296,0.34640569,0.561454185,0.03298631,0.05548757,NA,NA,0.380305571
"160L1","fagus",1,3.09,12.29508197,10.866,2.678,0.036801451,0.561454185,0.011938149,0.05548757,NA,0.380305571,NA
"160L1","fagus",1,53.3,12.29508197,10.866,0.648,0.178247045,0.561454185,0.000665755,0.05548757,0.380305571,NA,NA
"159N","acer",1,13.70808679,10.56338028,10.271,7.443,0.398718634,0.622378189,0.02645176,0.065023507,NA,NA,0.528137737
"159N","acer",1,6.910569106,10.56338028,10.271,2.378,0.066196736,0.622378189,0.011971362,0.065023507,NA,0.528137737,NA
"159N","acer",1,53.77906977,10.56338028,10.271,0.58,0.157462819,0.622378189,0.000111111,0.065023507,0.528137737,NA,NA
