"site","depth","mean.ph","depth_cm","species","avg.bd","pct.m","mean.c.pre","mean.n.pre","mean.c.post","mean.n.post","mean.pct.mass.loss"
"158J1","4",7.262,"25_40","picea",0.851,25.111,1.086152136,0.09689655,0.951252852,0.003560793,4.379562044
"158N","1",7.196,"0_5","fraxinus",0.645,43.493,6.977718677,0.613782946,0.412202801,0.003409394,15.26717557
"158N","2",7.257,"5_15","fraxinus",0.936,28.661,3.079063376,0.223129684,0.730900547,0.003199858,6.310679612
"158N","4",7.383,"25_40","fraxinus",0.766,57.477,2.646004615,0.158996586,0.787638909,0.003873681,6.164383562
"159G","1",7.26,"0_5","populus",0.741,NA,6.890631782,0.593725324,0.601910286,0.002717183,13.95233366
"159G","2",8.11,"5_15","populus",0.966,NA,4.026624649,0.313804746,0.646465553,0.002840044,8.313894635
"159G","3",6.803,"15_25","populus",0.991,NA,2.632597255,0.167886988,0.84539983,0.002765105,5.460203238
"159L","1",7.15333333333333,"0_5","fraxinus",0.787,42.776,6.450027682,0.5486850455,0.6520108445,0.0035728775,13.88439974
"159L","2",7.3326,"5_15","fraxinus",1.196,25.865,3.0818135965,0.20808243,0.822876447,0.0032545965,6.794737089
"159L","3",7.35875,"15_25","fraxinus",1.195,24.979,2.544970269,0.1426804965,1.0823701015,0.0114872515,4.836447536
"159L","4",7.222,"25_40","fraxinus",0.954,26,2.4297234745,0.151088984,1.009529031,0.004524116,5.325945892
"159N","1",7.191,"0_5","acer",0.838,55.813,5.70823253,0.41054125,0.633078636,0.003583632,10.56338028
"159N","2",7.118,"5_15","acer",1.063,30.328,3.014129037,0.188687191,0.951453127,0.016968389,6.951871658
"159N","3",7.35,"15_25","acer",1.141,27.508,2.592737027,0.144954456,1.060112046,0.003473427,4.895104895
"159N","4",7.404,"25_40","acer",0.931,20.594,3.448675852,0.223361169,0.980917672,0.019223749,6.944444444
"159P","1",7.111,"0_5","picea",0.66,51.137,5.233023882,0.381645279,0.477616704,0.004192253,17.6056338
"159P","2",7.269,"5_15","picea",1.026,23.419,3.565622559,0.233816874,0.782681932,0.003192392,7.586206897
"159P","3",7.39,"15_25","picea",0.985,25.58,2.569947936,0.147484756,0.897654005,0.002918356,6.756756757
