"site","depth","fraction.name","fraction.code","pct.n.pre.ashing.fraction","pct.c.pre.ashing.fraction","pct.n.post.ashing","pct.c.post.ashing.fraction","pct.mass.loss.fraction","pct.c.in.org.fraction","pct.c.in.whole.fraction","n.in.org.fract","pct.n.in.whole.fraction","species","pct.c.pre.ashing.bulk","pct.n.pre.ashing.bulk","pct.c.post.ashing.bulk","pct.n.post.ashing.bulk","pct.mass.loss.bulk","fraction.id","pct.c.in.org.fraction.bulk","org.c.in.total.bulk","pct.n.in.org.fraction.bulk","pct.n.in.total.bulk","sample","soil.mass.pre.fract","fraction.mass","org.c.mass.fraction","pct.c.in.fraction","org.c.start.mass.bulk","org.c.fraction.mass","soil.mass.sum.fractions","sum.org.c.mass.fraction","inorg.c.mass.frac","inorg.c.mass.bulk","org.c.bulk.wt","lon","lat","soil.ph","bulk.dens","pct.m","litter.pct.n","litter.pct.c","litter.lignin.mg.g","litter.cell.mg.g","litter.hwec.ppm","soil.npoc.mg.L","fractionated","npoc.mg.g","soil.doc.mass.g","code","CUE","turnover.time.days","mass.spec.growth.rate","litter.hwec.mg.g"
"131M","1","Sand + Agg","sa",0.062007451,1.512182663,0.003042684,0.430045651,3.436123348,31.92300741,1.096913911,1.719068595,0.059069317,"quercus",4.57209454,0.333024305,1.013294618,0.002762472,9.154929577,"fraction.sa",39.88633992,3.651566331,3.610237879,0.330514735,"32A",10.879,2.458,0.026962144,8.040855215,0.397253901,0.026962144,11.389,0.335314382,0.010207306,0.110236321,0.397253901,5.429236,52.464875,6.956333333,0.857,39.46,1.04705,56.50635,212.64325,104.50795,1013.15,57.21,"y",0.45768,0.0045768,"A6Q5",0.512957623,14.03784609,0.071236,101.315
"131M","1","POM","pom",1.673687839,27.94184576,0.004104227,0.088536306,56.66666667,49.24143534,27.90348003,2.950428248,1.671909341,"quercus",4.57209454,0.333024305,1.013294618,0.002762472,9.154929577,"fraction.pom",39.88633992,3.651566331,3.610237879,0.330514735,"32A",10.879,0.182,0.050784334,15.14528945,0.397253901,0.050784334,11.389,0.335314382,6.98e-05,0.110236321,0.397253901,5.429236,52.464875,6.956333333,0.857,39.46,1.04705,56.50635,212.64325,104.50795,1013.15,57.21,"y",0.45768,0.0045768,"A6Q5",0.512957623,14.03784609,0.071236,101.315
"131N1","1","POM","pom",1.04,18.71,0.004575909,0.605778891,37.47943402,48.91019325,18.33126361,2.767221926,1.037139116,"fagus",4.971198542,0.349405411,0.578546458,0.003018163,9.691954023,"fraction.pom",45.90121383,4.448724541,3.576985262,0.346679767,"1A",10.364,0.596,0.109254331,23.49261822,0.461065811,0.109254331,10.429,0.465058131,0.002257269,0.059960555,0.461065811,5.427993,52.465076,7.228,7.228,NA,0.8348,55.8359,204.06715,116.7782,1342,102.3,"y",0.8184,0.008184,"A5F2",0.382075738,27.64982089,0.0361666,134.2
"131N1","1","Sand + Agg","sa",0.1,1.98,0.003834351,0.540328706,3.751959248,38.91151557,1.459944207,2.566912536,0.096309512,"fagus",4.971198542,0.349405411,0.578546458,0.003018163,9.691954023,"fraction.sa",45.90121383,4.448724541,3.576985262,0.346679767,"1A",10.364,3.245,0.04737519,10.18693931,0.461065811,0.04737519,10.429,0.465058131,0.01687581,0.059960555,0.461065811,5.427993,52.465076,7.228,7.228,NA,0.8348,55.8359,204.06715,116.7782,1342,102.3,"y",0.8184,0.008184,"A5F2",0.382075738,27.64982089,0.0361666,134.2
"131N1","1","Silt + Clay","sc",0.396141868,5.125028521,0.013651776,0.499295543,11.20376729,41.78659524,4.681672889,3.427593552,0.384019605,"fagus",4.971198542,0.349405411,0.578546458,0.003018163,9.691954023,"fraction.sc",45.90121383,4.448724541,3.576985262,0.346679767,"1A",10.364,6.588,0.30842861,66.32044247,0.461065811,0.30842861,10.429,0.465058131,0.029208269,0.059960555,0.461065811,5.427993,52.465076,7.228,7.228,NA,0.8348,55.8359,204.06715,116.7782,1342,102.3,"y",0.8184,0.008184,"A5F2",0.382075738,27.64982089,0.0361666,134.2
"131N2","1","Silt + Clay","sc",0.522593619,7.087117119,0.003252869,0.257860967,17.02786378,40.36421982,6.873164366,3.053199455,0.519894644,"picea",6.609373771,0.415385387,0.794718158,0.004007525,14.47368421,"fraction.sc",40.96870239,5.92968061,2.846254572,0.411957899,"20A",10.478,6.574,0.451841825,66.14927549,0.621311934,0.451841825,10.472,0.683063907,0.014065254,0.083270569,0.621311934,5.427918,52.464432,7.1985,0.878,38.331,1.064,56.2102,228.23025,119.61005,1169.5,79.76,"y",0.63808,0.0063808,"A4P4",0.193512389,38.44364298,0.026012103,116.95
"131N2","1","Sand + Agg","sa",0.045418199,0.958939667,0.004118564,0.143899916,2.872062663,28.52210216,0.819172647,1.442096765,0.041417923,"picea",6.609373771,0.415385387,0.794718158,0.004007525,14.47368421,"fraction.sa",40.96870239,5.92968061,2.846254572,0.411957899,"20A",10.478,3.198,0.026197141,3.835240156,0.621311934,0.026197141,10.472,0.683063907,0.004469749,0.083270569,0.621311934,5.427918,52.464432,7.1985,0.878,38.331,1.064,56.2102,228.23025,119.61005,1169.5,79.76,"y",0.63808,0.0063808,"A4P4",0.193512389,38.44364298,0.026012103,116.95
"131N2","1","POM","pom",1.581747266,29.3768394,0.004250348,0.204496646,57.18157182,51.22153207,29.28927715,2.763000882,1.579927334,"picea",6.609373771,0.415385387,0.794718158,0.004007525,14.47368421,"fraction.pom",40.96870239,5.92968061,2.846254572,0.411957899,"20A",10.478,0.7,0.20502494,30.01548435,0.621311934,0.20502494,10.472,0.683063907,0.000612936,0.083270569,0.621311934,5.427918,52.464432,7.1985,0.878,38.331,1.064,56.2102,228.23025,119.61005,1169.5,79.76,"y",0.63808,0.0063808,"A4P4",0.193512389,38.44364298,0.026012103,116.95
"131V1","1","Sand + Agg","sa",0.2,3.02,0,0.48,6.17,41.64693679,2.569616,3.241491086,0.2,"fraxinus",3.41186608,0.352040363,0.709395956,0.003964998,10.65088757,"fraction.sa",26.08258769,2.77802709,3.272005926,0.348497672,"5A",10.111,2.843,0.073054183,13.99426647,0.280886319,0.073054183,10.53,0.522029383,0.012804417,0.071727025,0.280886319,5.427193,52.469239,7.174,0.935,27.985,2.00415,54.5257,106.51905,77.3521,2381.5,168.9,"y",1.3512,0.013512,"D1Po1",0.182921741,19.43589753,0.051451187,238.15
"131V1","1","POM","pom",1.25,19.33,0,0.33,39,49.04794872,19.1287,3.205128205,1.25,"fraxinus",3.41186608,0.352040363,0.709395956,0.003964998,10.65088757,"fraction.pom",26.08258769,2.77802709,3.272005926,0.348497672,"5A",10.111,0.602,0.115154774,22.05905985,0.280886319,0.115154774,10.53,0.522029383,0.001211826,0.071727025,0.280886319,5.427193,52.469239,7.174,0.935,27.985,2.00415,54.5257,106.51905,77.3521,2381.5,168.9,"y",1.3512,0.013512,"D1Po1",0.182921741,19.43589753,0.051451187,238.15
